Time	separation	R_int	M_int	T_surf	T_magma	T_eqm	T_skin	F_int	F_atm	F_net	F_olr	F_sct	F_ins	gravity	Phi_global	RF_depth	M_core	M_mantle	M_planet	M_mantle_solid	M_mantle_liquid	R_star	age_star	z_obs	rho_obs	transit_depth	contrast_ratio	esc_rate_total	M_atm	P_surf	atm_kg_per_mol	H2O_mol_atm	H2O_mol_solid	H2O_mol_liquid	H2O_mol_total	H2O_kg_atm	H2O_kg_solid	H2O_kg_liquid	H2O_kg_total	H2O_vmr	H2O_bar	CO2_mol_atm	CO2_mol_solid	CO2_mol_liquid	CO2_mol_total	CO2_kg_atm	CO2_kg_solid	CO2_kg_liquid	CO2_kg_total	CO2_vmr	CO2_bar	H2_mol_atm	H2_mol_solid	H2_mol_liquid	H2_mol_total	H2_kg_atm	H2_kg_solid	H2_kg_liquid	H2_kg_total	H2_vmr	H2_bar	CH4_mol_atm	CH4_mol_solid	CH4_mol_liquid	CH4_mol_total	CH4_kg_atm	CH4_kg_solid	CH4_kg_liquid	CH4_kg_total	CH4_vmr	CH4_bar	CO_mol_atm	CO_mol_solid	CO_mol_liquid	CO_mol_total	CO_kg_atm	CO_kg_solid	CO_kg_liquid	CO_kg_total	CO_vmr	CO_bar	N2_mol_atm	N2_mol_solid	N2_mol_liquid	N2_mol_total	N2_kg_atm	N2_kg_solid	N2_kg_liquid	N2_kg_total	N2_vmr	N2_bar	S2_mol_atm	S2_mol_solid	S2_mol_liquid	S2_mol_total	S2_kg_atm	S2_kg_solid	S2_kg_liquid	S2_kg_total	S2_vmr	S2_bar	SO2_mol_atm	SO2_mol_solid	SO2_mol_liquid	SO2_mol_total	SO2_kg_atm	SO2_kg_solid	SO2_kg_liquid	SO2_kg_total	SO2_vmr	SO2_bar	H_kg_atm	H_kg_solid	H_kg_liquid	H_kg_total	O_kg_atm	O_kg_solid	O_kg_liquid	O_kg_total	C_kg_atm	C_kg_solid	C_kg_liquid	C_kg_total	N_kg_atm	N_kg_solid	N_kg_liquid	N_kg_total	S_kg_atm	S_kg_solid	S_kg_liquid	S_kg_total	H/O_atm	H/C_atm	H/N_atm	H/S_atm	O/C_atm	O/N_atm	O/S_atm	C/N_atm	C/S_atm	N/S_atm
0.000000e+00	7.621090e+09	6.797926e+06	5.972000e+24	3.543283e+03	3.751512e+03	1.112326e+03	9.353509e+02	1.000000e+05	4.164595e+04	5.835405e+04	8.392320e+04	7.834885e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000000e+08	7.828580e+06	2.972973e+03	1.590563e-04	2.788468e-07	0.000000e+00	2.890323e+21	4.292971e+02	2.475572e-02	4.289116e+21	0.000000e+00	5.959747e+23	6.002638e+23	7.726962e+19	0.000000e+00	1.073665e+22	1.081392e+22	3.673642e-02	1.577084e+01	2.999940e+21	0.000000e+00	5.903297e+20	3.590270e+21	1.320274e+20	0.000000e+00	2.598041e+19	1.580078e+20	2.569459e-02	1.103061e+01	1.481530e+22	0.000000e+00	0.000000e+00	1.481530e+22	2.986587e+19	0.000000e+00	0.000000e+00	2.986587e+19	1.268936e-01	5.447504e+01	1.407766e+17	0.000000e+00	2.304048e+15	1.430807e+17	2.258057e+15	0.000000e+00	3.695693e+13	2.295014e+15	1.205757e-06	5.176278e-04	9.429099e+22	0.000000e+00	5.357291e+21	9.964828e+22	2.641091e+21	0.000000e+00	1.500577e+20	2.791148e+21	8.076056e-01	3.467027e+02	3.574230e+20	0.000000e+00	1.277241e+19	3.701954e+20	1.001285e+19	0.000000e+00	3.578063e+17	1.037066e+19	3.061340e-03	1.314224e+00	1.565694e+16	0.000000e+00	1.891517e+22	1.891518e+22	1.003610e+15	0.000000e+00	1.212462e+21	1.212463e+21	1.341022e-07	5.756970e-05	8.375130e+17	0.000000e+00	0.000000e+00	8.375130e+17	5.365611e+16	0.000000e+00	0.000000e+00	5.365611e+16	7.173327e-06	3.079488e-03	3.851507e+19	0.000000e+00	1.201485e+21	1.240000e+21	1.673202e+21	0.000000e+00	9.639599e+21	1.131280e+22	1.168563e+21	0.000000e+00	7.143690e+19	1.240000e+21	1.001285e+19	0.000000e+00	3.578063e+17	1.037066e+19	2.735263e+16	0.000000e+00	1.212462e+21	1.212490e+21	2.301878e-02	3.295935e-02	3.846565e+00	1.408094e+03	1.431846e+00	1.671055e+02	6.117153e+04	1.167064e+02	4.272215e+04	3.660653e+02
0.000000e+00	7.621090e+09	6.797926e+06	5.972000e+24	3.543320e+03	3.751512e+03	1.112326e+03	9.353509e+02	4.164595e+04	4.164596e+04	-1.221136e-02	8.392321e+04	7.834885e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000000e+08	7.828580e+06	2.972973e+03	1.590563e-04	2.788468e-07	0.000000e+00	2.890323e+21	4.292971e+02	2.475572e-02	4.289116e+21	0.000000e+00	5.959747e+23	6.002638e+23	7.726962e+19	0.000000e+00	1.073665e+22	1.081392e+22	3.673642e-02	1.577084e+01	2.999940e+21	0.000000e+00	5.903297e+20	3.590270e+21	1.320274e+20	0.000000e+00	2.598041e+19	1.580078e+20	2.569459e-02	1.103061e+01	1.481530e+22	0.000000e+00	0.000000e+00	1.481530e+22	2.986587e+19	0.000000e+00	0.000000e+00	2.986587e+19	1.268936e-01	5.447504e+01	1.407766e+17	0.000000e+00	2.304048e+15	1.430807e+17	2.258057e+15	0.000000e+00	3.695693e+13	2.295014e+15	1.205757e-06	5.176278e-04	9.429099e+22	0.000000e+00	5.357291e+21	9.964828e+22	2.641091e+21	0.000000e+00	1.500577e+20	2.791148e+21	8.076056e-01	3.467027e+02	3.574230e+20	0.000000e+00	1.277241e+19	3.701954e+20	1.001285e+19	0.000000e+00	3.578063e+17	1.037066e+19	3.061340e-03	1.314224e+00	1.565694e+16	0.000000e+00	1.891517e+22	1.891518e+22	1.003610e+15	0.000000e+00	1.212462e+21	1.212463e+21	1.341022e-07	5.756970e-05	8.375130e+17	0.000000e+00	0.000000e+00	8.375130e+17	5.365611e+16	0.000000e+00	0.000000e+00	5.365611e+16	7.173327e-06	3.079488e-03	3.851507e+19	0.000000e+00	1.201485e+21	1.240000e+21	1.673202e+21	0.000000e+00	9.639599e+21	1.131280e+22	1.168563e+21	0.000000e+00	7.143690e+19	1.240000e+21	1.001285e+19	0.000000e+00	3.578063e+17	1.037066e+19	2.735263e+16	0.000000e+00	1.212462e+21	1.212490e+21	2.301878e-02	3.295935e-02	3.846565e+00	1.408094e+03	1.431846e+00	1.671055e+02	6.117153e+04	1.167064e+02	4.272215e+04	3.660653e+02
0.000000e+00	7.621090e+09	6.797926e+06	5.972000e+24	3.543320e+03	3.751512e+03	1.112326e+03	9.353509e+02	4.164596e+04	4.164596e+04	2.905317e-03	8.392320e+04	7.834886e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000000e+08	7.828580e+06	2.972973e+03	1.590563e-04	2.788468e-07	0.000000e+00	2.890323e+21	4.292971e+02	2.475572e-02	4.289116e+21	0.000000e+00	5.959747e+23	6.002638e+23	7.726962e+19	0.000000e+00	1.073665e+22	1.081392e+22	3.673642e-02	1.577084e+01	2.999940e+21	0.000000e+00	5.903297e+20	3.590270e+21	1.320274e+20	0.000000e+00	2.598041e+19	1.580078e+20	2.569459e-02	1.103061e+01	1.481530e+22	0.000000e+00	0.000000e+00	1.481530e+22	2.986587e+19	0.000000e+00	0.000000e+00	2.986587e+19	1.268936e-01	5.447504e+01	1.407766e+17	0.000000e+00	2.304048e+15	1.430807e+17	2.258057e+15	0.000000e+00	3.695693e+13	2.295014e+15	1.205757e-06	5.176278e-04	9.429099e+22	0.000000e+00	5.357291e+21	9.964828e+22	2.641091e+21	0.000000e+00	1.500577e+20	2.791148e+21	8.076056e-01	3.467027e+02	3.574230e+20	0.000000e+00	1.277241e+19	3.701954e+20	1.001285e+19	0.000000e+00	3.578063e+17	1.037065e+19	3.061340e-03	1.314224e+00	1.565694e+16	0.000000e+00	1.891517e+22	1.891518e+22	1.003610e+15	0.000000e+00	1.212462e+21	1.212463e+21	1.341022e-07	5.756970e-05	8.375130e+17	0.000000e+00	0.000000e+00	8.375130e+17	5.365611e+16	0.000000e+00	0.000000e+00	5.365611e+16	7.173327e-06	3.079488e-03	3.851507e+19	0.000000e+00	1.201485e+21	1.240000e+21	1.673202e+21	0.000000e+00	9.639599e+21	1.131280e+22	1.168563e+21	0.000000e+00	7.143690e+19	1.240000e+21	1.001285e+19	0.000000e+00	3.578063e+17	1.037065e+19	2.735263e+16	0.000000e+00	1.212462e+21	1.212490e+21	2.301878e-02	3.295935e-02	3.846565e+00	1.408094e+03	1.431846e+00	1.671055e+02	6.117153e+04	1.167064e+02	4.272215e+04	3.660653e+02
1.000000e+00	7.621090e+09	6.797926e+06	5.972000e+24	3.543283e+03	3.751512e+03	1.112326e+03	9.353509e+02	4.164596e+04	4.164593e+04	3.232650e-02	8.392318e+04	7.834886e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000000e+08	7.828580e+06	2.972973e+03	1.590563e-04	2.788467e-07	0.000000e+00	2.890323e+21	4.292971e+02	2.475572e-02	4.289116e+21	0.000000e+00	5.959747e+23	6.002638e+23	7.726962e+19	0.000000e+00	1.073665e+22	1.081392e+22	3.673642e-02	1.577084e+01	2.999940e+21	0.000000e+00	5.903297e+20	3.590270e+21	1.320274e+20	0.000000e+00	2.598041e+19	1.580078e+20	2.569459e-02	1.103061e+01	1.481530e+22	0.000000e+00	0.000000e+00	1.481530e+22	2.986587e+19	0.000000e+00	0.000000e+00	2.986587e+19	1.268936e-01	5.447504e+01	1.407766e+17	0.000000e+00	2.304048e+15	1.430807e+17	2.258057e+15	0.000000e+00	3.695693e+13	2.295014e+15	1.205757e-06	5.176278e-04	9.429099e+22	0.000000e+00	5.357291e+21	9.964828e+22	2.641091e+21	0.000000e+00	1.500577e+20	2.791148e+21	8.076056e-01	3.467027e+02	3.574230e+20	0.000000e+00	1.277241e+19	3.701954e+20	1.001285e+19	0.000000e+00	3.578063e+17	1.037065e+19	3.061340e-03	1.314224e+00	1.565694e+16	0.000000e+00	1.891517e+22	1.891518e+22	1.003610e+15	0.000000e+00	1.212462e+21	1.212463e+21	1.341022e-07	5.756970e-05	8.375130e+17	0.000000e+00	0.000000e+00	8.375130e+17	5.365611e+16	0.000000e+00	0.000000e+00	5.365611e+16	7.173327e-06	3.079488e-03	3.851507e+19	0.000000e+00	1.201485e+21	1.240000e+21	1.673202e+21	0.000000e+00	9.639599e+21	1.131280e+22	1.168563e+21	0.000000e+00	7.143690e+19	1.240000e+21	1.001285e+19	0.000000e+00	3.578063e+17	1.037065e+19	2.735263e+16	0.000000e+00	1.212462e+21	1.212490e+21	2.301878e-02	3.295935e-02	3.846565e+00	1.408094e+03	1.431846e+00	1.671055e+02	6.117153e+04	1.167064e+02	4.272215e+04	3.660653e+02
2.000000e+00	7.621090e+09	6.797926e+06	5.972000e+24	3.543283e+03	3.751512e+03	1.112326e+03	9.353509e+02	4.164593e+04	4.164593e+04	2.370002e-03	8.392318e+04	7.834886e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000000e+08	7.828580e+06	2.972973e+03	1.590563e-04	2.788467e-07	0.000000e+00	2.890323e+21	4.292971e+02	2.475572e-02	4.289116e+21	0.000000e+00	5.959747e+23	6.002638e+23	7.726962e+19	0.000000e+00	1.073665e+22	1.081392e+22	3.673642e-02	1.577084e+01	2.999940e+21	0.000000e+00	5.903297e+20	3.590270e+21	1.320274e+20	0.000000e+00	2.598041e+19	1.580078e+20	2.569459e-02	1.103061e+01	1.481530e+22	0.000000e+00	0.000000e+00	1.481530e+22	2.986587e+19	0.000000e+00	0.000000e+00	2.986587e+19	1.268936e-01	5.447504e+01	1.407766e+17	0.000000e+00	2.304048e+15	1.430807e+17	2.258057e+15	0.000000e+00	3.695693e+13	2.295014e+15	1.205757e-06	5.176278e-04	9.429099e+22	0.000000e+00	5.357291e+21	9.964828e+22	2.641091e+21	0.000000e+00	1.500577e+20	2.791148e+21	8.076056e-01	3.467027e+02	3.574230e+20	0.000000e+00	1.277241e+19	3.701954e+20	1.001285e+19	0.000000e+00	3.578063e+17	1.037066e+19	3.061340e-03	1.314225e+00	1.565694e+16	0.000000e+00	1.891517e+22	1.891518e+22	1.003610e+15	0.000000e+00	1.212462e+21	1.212463e+21	1.341022e-07	5.756970e-05	8.375130e+17	0.000000e+00	0.000000e+00	8.375130e+17	5.365611e+16	0.000000e+00	0.000000e+00	5.365611e+16	7.173327e-06	3.079488e-03	3.851507e+19	0.000000e+00	1.201485e+21	1.240000e+21	1.673202e+21	0.000000e+00	9.639599e+21	1.131280e+22	1.168563e+21	0.000000e+00	7.143690e+19	1.240000e+21	1.001285e+19	0.000000e+00	3.578063e+17	1.037066e+19	2.735263e+16	0.000000e+00	1.212462e+21	1.212490e+21	2.301878e-02	3.295935e-02	3.846565e+00	1.408094e+03	1.431846e+00	1.671055e+02	6.117153e+04	1.167064e+02	4.272215e+04	3.660653e+02
4.380000e+02	7.621090e+09	6.797926e+06	5.972000e+24	3.543149e+03	3.751148e+03	1.112326e+03	9.353509e+02	4.164593e+04	4.162915e+04	1.678494e+01	8.390617e+04	7.835105e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000004e+08	7.828518e+06	2.973045e+03	1.590537e-04	2.787912e-07	0.000000e+00	2.890323e+21	4.292970e+02	2.475618e-02	4.289064e+21	0.000000e+00	5.959767e+23	6.002658e+23	7.726870e+19	0.000000e+00	1.073669e+22	1.081396e+22	3.673668e-02	1.577095e+01	3.000520e+21	0.000000e+00	5.904546e+20	3.590974e+21	1.320529e+20	0.000000e+00	2.598591e+19	1.580388e+20	2.570004e-02	1.103295e+01	1.481331e+22	0.000000e+00	0.000000e+00	1.481331e+22	2.986185e+19	0.000000e+00	0.000000e+00	2.986185e+19	1.268789e-01	5.446872e+01	1.408207e+17	0.000000e+00	2.304813e+15	1.431255e+17	2.258764e+15	0.000000e+00	3.696919e+13	2.295733e+15	1.206157e-06	5.177995e-04	9.429024e+22	0.000000e+00	5.357342e+21	9.964758e+22	2.641070e+21	0.000000e+00	1.500592e+20	2.791129e+21	8.076145e-01	3.467065e+02	3.574227e+20	0.000000e+00	1.277271e+19	3.701954e+20	1.001284e+19	0.000000e+00	3.578146e+17	1.037066e+19	3.061396e-03	1.314248e+00	1.565741e+16	0.000000e+00	1.891517e+22	1.891518e+22	1.003640e+15	0.000000e+00	1.212462e+21	1.212463e+21	1.341088e-07	5.757250e-05	8.374354e+17	0.000000e+00	0.000000e+00	8.374354e+17	5.365114e+16	0.000000e+00	0.000000e+00	5.365114e+16	7.172799e-06	3.079261e-03	3.851095e+19	0.000000e+00	1.201489e+21	1.240000e+21	1.673208e+21	0.000000e+00	9.639637e+21	1.131284e+22	1.168561e+21	0.000000e+00	7.143902e+19	1.240000e+21	1.001284e+19	0.000000e+00	3.578146e+17	1.037066e+19	2.735016e+16	0.000000e+00	1.212462e+21	1.212490e+21	2.301624e-02	3.295587e-02	3.846156e+00	1.408070e+03	1.431853e+00	1.671062e+02	6.117726e+04	1.167062e+02	4.272594e+04	3.660981e+02
8.400000e+02	7.621090e+09	6.797926e+06	5.972000e+24	3.531110e+03	3.733507e+03	1.112326e+03	9.353509e+02	4.162915e+04	4.048064e+04	1.148507e+03	8.274589e+04	7.846884e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000008e+08	7.824637e+06	2.977471e+03	1.588961e-04	2.750282e-07	0.000000e+00	2.890295e+21	4.292927e+02	2.477882e-02	4.286574e+21	0.000000e+00	5.960759e+23	6.003625e+23	7.722384e+19	0.000000e+00	1.073847e+22	1.081570e+22	3.674927e-02	1.577620e+01	3.028831e+21	0.000000e+00	5.965634e+20	3.625394e+21	1.332988e+20	0.000000e+00	2.625476e+19	1.595536e+20	2.596650e-02	1.114723e+01	1.471661e+22	0.000000e+00	0.000000e+00	1.471661e+22	2.966692e+19	0.000000e+00	0.000000e+00	2.966692e+19	1.261671e-01	5.416264e+01	1.429878e+17	0.000000e+00	2.342421e+15	1.453303e+17	2.293525e+15	0.000000e+00	3.757244e+13	2.331097e+15	1.225850e-06	5.262487e-04	9.425336e+22	0.000000e+00	5.359798e+21	9.961316e+22	2.640037e+21	0.000000e+00	1.501279e+20	2.790165e+21	8.080445e-01	3.468876e+02	3.574083e+20	0.000000e+00	1.278710e+19	3.701954e+20	1.001244e+19	0.000000e+00	3.582178e+17	1.037066e+19	3.064101e-03	1.315396e+00	1.567978e+16	0.000000e+00	1.891517e+22	1.891518e+22	1.005074e+15	0.000000e+00	1.212462e+21	1.212463e+21	1.344245e-07	5.770746e-05	8.336485e+17	0.000000e+00	0.000000e+00	8.336485e+17	5.340853e+16	0.000000e+00	0.000000e+00	5.340853e+16	7.146961e-06	3.068138e-03	3.831100e+19	0.000000e+00	1.201689e+21	1.240000e+21	1.673484e+21	0.000000e+00	9.641458e+21	1.131494e+22	1.168458e+21	0.000000e+00	7.154188e+19	1.240000e+21	1.001244e+19	0.000000e+00	3.582178e+17	1.037066e+19	2.722947e+16	0.000000e+00	1.212462e+21	1.212490e+21	2.289296e-02	3.278765e-02	3.826341e+00	1.406969e+03	1.432215e+00	1.671405e+02	6.145856e+04	1.167007e+02	4.291153e+04	3.677060e+02
1.244000e+03	7.621090e+09	6.797926e+06	5.972000e+24	3.519187e+03	3.716013e+03	1.112326e+03	9.353509e+02	4.048064e+04	3.936633e+04	1.114308e+03	8.161966e+04	7.858803e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000012e+08	7.820801e+06	2.981853e+03	1.587403e-04	2.713790e-07	0.000000e+00	2.890273e+21	4.292892e+02	2.480135e-02	4.284094e+21	0.000000e+00	5.961742e+23	6.004583e+23	7.717915e+19	0.000000e+00	1.074024e+22	1.081742e+22	3.676169e-02	1.578140e+01	3.057363e+21	0.000000e+00	6.027233e+20	3.660086e+21	1.345546e+20	0.000000e+00	2.652585e+19	1.610804e+20	2.623515e-02	1.126247e+01	1.462082e+22	0.000000e+00	0.000000e+00	1.462082e+22	2.947381e+19	0.000000e+00	0.000000e+00	2.947381e+19	1.254608e-01	5.385898e+01	1.451992e+17	0.000000e+00	2.380810e+15	1.475800e+17	2.328995e+15	0.000000e+00	3.818819e+13	2.367183e+15	1.245950e-06	5.348730e-04	9.421625e+22	0.000000e+00	5.362217e+21	9.957846e+22	2.638997e+21	0.000000e+00	1.501957e+20	2.789193e+21	8.084670e-01	3.470662e+02	3.573940e+20	0.000000e+00	1.280146e+19	3.701954e+20	1.001203e+19	0.000000e+00	3.586201e+17	1.037065e+19	3.066788e-03	1.316539e+00	1.570159e+16	0.000000e+00	1.891517e+22	1.891519e+22	1.006472e+15	0.000000e+00	1.212462e+21	1.212463e+21	1.347349e-07	5.784026e-05	8.298422e+17	0.000000e+00	0.000000e+00	8.298422e+17	5.316467e+16	0.000000e+00	0.000000e+00	5.316467e+16	7.120854e-06	3.056906e-03	3.811288e+19	0.000000e+00	1.201887e+21	1.240000e+21	1.673763e+21	0.000000e+00	9.643266e+21	1.131703e+22	1.168355e+21	0.000000e+00	7.164493e+19	1.240000e+21	1.001203e+19	0.000000e+00	3.586201e+17	1.037065e+19	2.710813e+16	0.000000e+00	1.212462e+21	1.212489e+21	2.277078e-02	3.262098e-02	3.806707e+00	1.405957e+03	1.432581e+00	1.671751e+02	6.174394e+04	1.166951e+02	4.309980e+04	3.693369e+02
1.688000e+03	7.621090e+09	6.797926e+06	5.972000e+24	3.506225e+03	3.697133e+03	1.112326e+03	9.353509e+02	3.936633e+04	3.818311e+04	1.183221e+03	8.042338e+04	7.871860e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000017e+08	7.816660e+06	2.986595e+03	1.585723e-04	2.675069e-07	0.000000e+00	2.890255e+21	4.292863e+02	2.482577e-02	4.281404e+21	0.000000e+00	5.962801e+23	6.005615e+23	7.713069e+19	0.000000e+00	1.074215e+22	1.081928e+22	3.677501e-02	1.578701e+01	3.088679e+21	0.000000e+00	6.094878e+20	3.698166e+21	1.359327e+20	0.000000e+00	2.682356e+19	1.627563e+20	2.653013e-02	1.138902e+01	1.451753e+22	0.000000e+00	0.000000e+00	1.451753e+22	2.926560e+19	0.000000e+00	0.000000e+00	2.926560e+19	1.246980e-01	5.353114e+01	1.476579e+17	0.000000e+00	2.423508e+15	1.500814e+17	2.368433e+15	0.000000e+00	3.887306e+13	2.407306e+15	1.268304e-06	5.444656e-04	9.417557e+22	0.000000e+00	5.364812e+21	9.954038e+22	2.637858e+21	0.000000e+00	1.502684e+20	2.788126e+21	8.089187e-01	3.472577e+02	3.573784e+20	0.000000e+00	1.281706e+19	3.701954e+20	1.001160e+19	0.000000e+00	3.590571e+17	1.037065e+19	3.069692e-03	1.317777e+00	1.572470e+16	0.000000e+00	1.891517e+22	1.891519e+22	1.007953e+15	0.000000e+00	1.212462e+21	1.212464e+21	1.350669e-07	5.798239e-05	8.256772e+17	0.000000e+00	0.000000e+00	8.256772e+17	5.289784e+16	0.000000e+00	0.000000e+00	5.289784e+16	7.092134e-06	3.044556e-03	3.789925e+19	0.000000e+00	1.202101e+21	1.240000e+21	1.674071e+21	0.000000e+00	9.645220e+21	1.131929e+22	1.168243e+21	0.000000e+00	7.175734e+19	1.240000e+21	1.001160e+19	0.000000e+00	3.590571e+17	1.037065e+19	2.697535e+16	0.000000e+00	1.212462e+21	1.212489e+21	2.263897e-02	3.244125e-02	3.785535e+00	1.404959e+03	1.432982e+00	1.672132e+02	6.205930e+04	1.166889e+02	4.330779e+04	3.711388e+02
2.120000e+03	7.621090e+09	6.797926e+06	5.972000e+24	3.493816e+03	3.679169e+03	1.112326e+03	9.353509e+02	3.818311e+04	3.707161e+04	1.111496e+03	7.929926e+04	7.884487e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000021e+08	7.812710e+06	2.991128e+03	1.584120e-04	2.638725e-07	0.000000e+00	2.890242e+21	4.292844e+02	2.484909e-02	4.278832e+21	0.000000e+00	5.963809e+23	6.006597e+23	7.708436e+19	0.000000e+00	1.074397e+22	1.082105e+22	3.678761e-02	1.579234e+01	3.118989e+21	0.000000e+00	6.160389e+20	3.735028e+21	1.372667e+20	0.000000e+00	2.711187e+19	1.643786e+20	2.681576e-02	1.151159e+01	1.441936e+22	0.000000e+00	0.000000e+00	1.441936e+22	2.906771e+19	0.000000e+00	0.000000e+00	2.906771e+19	1.239716e-01	5.321909e+01	1.500696e+17	0.000000e+00	2.465404e+15	1.525350e+17	2.407116e+15	0.000000e+00	3.954507e+13	2.446661e+15	1.290235e-06	5.538779e-04	9.413625e+22	0.000000e+00	5.367263e+21	9.950352e+22	2.636756e+21	0.000000e+00	1.503370e+20	2.787094e+21	8.093440e-01	3.474387e+02	3.573634e+20	0.000000e+00	1.283200e+19	3.701954e+20	1.001118e+19	0.000000e+00	3.594757e+17	1.037065e+19	3.072461e-03	1.318959e+00	1.574626e+16	0.000000e+00	1.891517e+22	1.891519e+22	1.009335e+15	0.000000e+00	1.212463e+21	1.212464e+21	1.353798e-07	5.811641e-05	8.216590e+17	0.000000e+00	0.000000e+00	8.216590e+17	5.264040e+16	0.000000e+00	0.000000e+00	5.264040e+16	7.064279e-06	3.032585e-03	3.769617e+19	0.000000e+00	1.202304e+21	1.240000e+21	1.674371e+21	0.000000e+00	9.647080e+21	1.132145e+22	1.168135e+21	0.000000e+00	7.186547e+19	1.240000e+21	1.001118e+19	0.000000e+00	3.594757e+17	1.037065e+19	2.684721e+16	0.000000e+00	1.212463e+21	1.212489e+21	2.251363e-02	3.227040e-02	3.765407e+00	1.404100e+03	1.433371e+00	1.672501e+02	6.236665e+04	1.166830e+02	4.351046e+04	3.728945e+02
2.555000e+03	7.621090e+09	6.797926e+06	5.972000e+24	3.481485e+03	3.661467e+03	1.112326e+03	9.353509e+02	3.707161e+04	3.599778e+04	1.073828e+03	7.821283e+04	7.897087e+03	3.472247e+05	8.625243e+00	1.000000e+00	4.500000e-01	2.350947e+24	5.159530e+24	5.974890e+24	0.000000e+00	5.159530e+24	6.207369e+08	1.000026e+08	7.808824e+06	2.995595e+03	1.582545e-04	2.603633e-07	0.000000e+00	2.890236e+21	4.292832e+02	2.487217e-02	4.276286e+21	0.000000e+00	5.964800e+23	6.007563e+23	7.703849e+19	0.000000e+00	1.074576e+22	1.082279e+22	3.679994e-02	1.579760e+01	3.149360e+21	0.000000e+00	6.226069e+20	3.771967e+21	1.386033e+20	0.000000e+00	2.740093e+19	1.660043e+20	2.710208e-02	1.163447e+01	1.432272e+22	0.000000e+00	0.000000e+00	1.432272e+22	2.887289e+19	0.000000e+00	0.000000e+00	2.887289e+19	1.232554e-01	5.291147e+01	1.525178e+17	0.000000e+00	2.507950e+15	1.550258e+17	2.446386e+15	0.000000e+00	4.022751e+13	2.486613e+15	1.312505e-06	5.634363e-04	9.409691e+22	0.000000e+00	5.369662e+21	9.946658e+22	2.635655e+21	0.000000e+00	1.504042e+20	2.786059e+21	8.097589e-01	3.476159e+02	3.573486e+20	0.000000e+00	1.284682e+19	3.701954e+20	1.001076e+19	0.000000e+00	3.598908e+17	1.037065e+19	3.075193e-03	1.320129e+00	1.576709e+16	0.000000e+00	1.891518e+22	1.891519e+22	1.010670e+15	0.000000e+00	1.212463e+21	1.212464e+21	1.356850e-07	5.824730e-05	8.176462e+17	0.000000e+00	0.000000e+00	8.176462e+17	5.238332e+16	0.000000e+00	0.000000e+00	5.238332e+16	7.036323e-06	3.020575e-03	3.749621e+19	0.000000e+00	1.202504e+21	1.240000e+21	1.674672e+21	0.000000e+00	9.648916e+21	1.132359e+22	1.168027e+21	0.000000e+00	7.197317e+19	1.240000e+21	1.001076e+19	0.000000e+00	3.598908e+17	1.037065e+19	2.671923e+16	0.000000e+00	1.212463e+21	1.212489e+21	2.239018e-02	3.210219e-02	3.745590e+00	1.403342e+03	1.433762e+00	1.672872e+02	6.267667e+04	1.166771e+02	4.371484e+04	3.746651e+02
